date,FU883140005.Q,FU313140003.Q,FU543140005.Q,FU883140005.Q,FU153040005.Q,FU763040005.Q,FU733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2728.00,173.00,2555.00,2728.00,2728.00,0.00,0.00
1952:Q1,668.00,15.00,653.00,668.00,668.00,0.00,0.00
1952:Q2,708.00,20.00,688.00,708.00,708.00,0.00,0.00
1952:Q3,739.00,8.00,731.00,739.00,739.00,0.00,0.00
1952:Q4,773.00,0.00,773.00,773.00,773.00,0.00,0.00
1953:Q1,774.00,8.00,766.00,774.00,774.00,0.00,0.00
1953:Q2,760.00,18.00,742.00,760.00,760.00,0.00,0.00
1953:Q3,738.00,25.00,713.00,738.00,738.00,0.00,0.00
1953:Q4,710.00,23.00,687.00,710.00,710.00,0.00,0.00
1954:Q1,692.00,-13.00,705.00,692.00,692.00,0.00,0.00
1954:Q2,679.00,-59.00,738.00,679.00,679.00,0.00,0.00
1954:Q3,669.00,-100.00,769.00,669.00,669.00,0.00,0.00
1954:Q4,662.00,-127.00,789.00,662.00,662.00,0.00,0.00
1955:Q1,682.00,-99.00,781.00,682.00,682.00,0.00,0.00
1955:Q2,709.00,-52.00,761.00,709.00,709.00,0.00,0.00
1955:Q3,758.00,1.00,757.00,758.00,758.00,0.00,0.00
1955:Q4,756.00,-15.00,771.00,756.00,756.00,0.00,0.00
1956:Q1,850.00,58.00,792.00,850.00,850.00,0.00,0.00
1956:Q2,909.00,90.00,819.00,909.00,909.00,0.00,0.00
1956:Q3,891.00,86.00,805.00,891.00,891.00,0.00,0.00
1956:Q4,820.00,69.00,751.00,820.00,820.00,0.00,0.00
1957:Q1,744.00,46.00,698.00,744.00,744.00,0.00,0.00
1957:Q2,667.00,22.00,645.00,667.00,667.00,0.00,0.00
1957:Q3,649.00,12.00,637.00,649.00,649.00,0.00,0.00
1957:Q4,678.00,7.00,671.00,678.00,678.00,0.00,0.00
1958:Q1,721.00,7.00,714.00,721.00,721.00,0.00,0.00
1958:Q2,775.00,11.00,764.00,775.00,775.00,0.00,0.00
1958:Q3,794.00,16.00,778.00,794.00,794.00,0.00,0.00
1958:Q4,783.00,22.00,761.00,783.00,783.00,0.00,0.00
1959:Q1,796.00,27.00,769.00,796.00,796.00,0.00,0.00
1959:Q2,802.00,31.00,771.00,802.00,802.00,0.00,0.00
1959:Q3,861.00,28.00,833.00,861.00,861.00,0.00,0.00
1959:Q4,962.00,23.00,939.00,962.00,962.00,0.00,0.00
1960:Q1,939.00,21.00,918.00,939.00,939.00,0.00,0.00
1960:Q2,877.00,18.00,859.00,877.00,877.00,0.00,0.00
1960:Q3,767.00,17.00,750.00,767.00,767.00,0.00,0.00
