date,FL152090205.Q,FL112090205.Q,FL662090205.Q
1945:Q4,197384.93,197384.93,0.00
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,234183.00,234183.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,267381.00,267381.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,283078.00,283078.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,284821.00,284821.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,301716.00,301716.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1951:Q4,328509.00,328509.00,0.00
1952:Q1,331382.00,331382.00,0.00
1952:Q2,332041.00,332041.00,0.00
1952:Q3,332879.00,332879.00,0.00
1952:Q4,330662.00,330662.00,0.00
1953:Q1,329029.00,329029.00,0.00
1953:Q2,327660.00,327660.00,0.00
1953:Q3,328513.00,328513.00,0.00
1953:Q4,330216.00,330216.00,0.00
1954:Q1,330444.00,330444.00,0.00
1954:Q2,330484.00,330484.00,0.00
1954:Q3,331774.00,331774.00,0.00
1954:Q4,333826.00,333826.00,0.00
1955:Q1,336329.00,336329.00,0.00
1955:Q2,337045.00,337045.00,0.00
1955:Q3,339991.00,339991.00,0.00
1955:Q4,343804.00,343804.00,0.00
1956:Q1,349615.00,349615.00,0.00
1956:Q2,354374.00,354374.00,0.00
1956:Q3,357913.00,357913.00,0.00
1956:Q4,360829.00,360829.00,0.00
1957:Q1,364484.00,364484.00,0.00
1957:Q2,367235.00,367235.00,0.00
1957:Q3,370840.00,370840.00,0.00
1957:Q4,373182.00,373182.00,0.00
1958:Q1,378990.00,378990.00,0.00
1958:Q2,382457.00,382457.00,0.00
1958:Q3,385686.00,385686.00,0.00
1958:Q4,387268.00,387268.00,0.00
1959:Q1,388193.00,388193.00,0.00
1959:Q2,387796.00,387796.00,0.00
1959:Q3,387354.00,387354.00,0.00
1959:Q4,388619.00,388619.00,0.00
1960:Q1,391395.00,391395.00,0.00
1960:Q2,392196.00,392196.00,0.00
1960:Q3,395209.00,395209.00,0.00
1960:Q4,398556.00,398556.00,0.00
1961:Q1,401247.00,401247.00,0.00
1961:Q2,404952.00,404952.00,0.00
1961:Q3,410146.00,410146.00,0.00
1961:Q4,415782.00,415782.00,0.00
1962:Q1,420786.00,420786.00,0.00
1962:Q2,423966.00,423966.00,0.00
1962:Q3,428807.00,428807.00,0.00
1962:Q4,432851.00,432851.00,0.00
1963:Q1,435115.00,435115.00,0.00
1963:Q2,435407.00,435407.00,0.00
1963:Q3,435270.00,435270.00,0.00
1963:Q4,438467.00,438467.00,0.00
1964:Q1,439582.00,439582.00,0.00
1964:Q2,445036.00,445036.00,0.00
1964:Q3,449319.00,449319.00,0.00
1964:Q4,458152.00,458152.00,0.00
1965:Q1,463552.00,463552.00,0.00
1965:Q2,468733.00,468733.00,0.00
1965:Q3,472429.00,472429.00,0.00
1965:Q4,485043.00,485043.00,0.00
1966:Q1,487835.00,487835.00,0.00
1966:Q2,501666.00,501666.00,0.00
1966:Q3,507680.00,507680.00,0.00
1966:Q4,518538.00,518538.00,0.00
1967:Q1,522659.00,522659.00,0.00
1967:Q2,528075.00,528075.00,0.00
1967:Q3,533661.00,533661.00,0.00
1967:Q4,543205.00,543205.00,0.00
1968:Q1,556094.00,556094.00,0.00
1968:Q2,564614.00,564614.00,0.00
1968:Q3,571784.00,571784.00,0.00
1968:Q4,588302.00,588302.00,0.00
1969:Q1,599620.00,599620.00,0.00
1969:Q2,608469.00,608469.00,0.00
1969:Q3,612359.00,612359.00,0.00
1969:Q4,623262.00,623262.00,0.00
1970:Q1,632072.00,632072.00,0.00
1970:Q2,649554.00,649554.00,0.00
1970:Q3,644886.00,644886.00,0.00
1970:Q4,654582.00,654582.00,0.00
1971:Q1,674989.00,674989.00,0.00
1971:Q2,690100.00,690100.00,0.00
1971:Q3,705591.00,705591.00,0.00
1971:Q4,720893.00,720893.00,0.00
1972:Q1,743209.00,743209.00,0.00
1972:Q2,757526.00,757526.00,0.00
1972:Q3,777909.00,777909.00,0.00
