date,FA544090075.Q,FA543020073.Q,FA543034073.Q,FA542051073.Q,FA544022075.Q,FA543069170.Q,FA543061173.Q,FA543061773.Q,FA543062073.Q,FA543063075.Q,FA544023075.Q,FA543069075.Q,FA543065070.Q,FA543064175.Q,FA543064273.Q,FA543092073.Q,FA543090075.Q,FA544190075.Q,FA542151073.Q,FA543164173.Q,FA543169373.Q,FA543140073.Q,FA543150075.Q,FA543178073.Q,FA543192073.Q,FA543190075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3531.00,-6.00,0.00,0.00,2743.00,0.00,1046.00,0.00,-108.00,1805.00,451.00,-68.00,519.00,267.00,0.00,4.00,72.00,3331.00,0.00,0.00,0.00,2635.00,400.00,-4.00,1.00,299.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3449.00,246.00,0.00,0.00,1420.00,0.00,-1595.00,0.00,-5.00,3020.00,1563.00,43.00,1520.00,150.00,0.00,4.00,66.00,3420.00,0.00,0.00,0.00,2545.00,500.00,-20.00,1.00,394.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,3626.00,-105.00,0.00,0.00,1268.00,0.00,-3228.00,0.00,263.00,4233.00,2278.00,120.00,2158.00,44.00,0.00,4.00,137.00,3496.00,0.00,0.00,0.00,2630.00,600.00,0.00,2.00,264.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,3806.00,-7.00,0.00,0.00,1239.00,0.00,-1514.00,0.00,180.00,2573.00,2256.00,183.00,2073.00,226.00,0.00,4.00,88.00,3725.00,0.00,0.00,0.00,2667.00,625.00,45.00,2.00,386.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,4141.00,97.00,0.00,0.00,109.00,0.00,-1812.00,0.00,100.00,1821.00,3369.00,173.00,3196.00,317.00,0.00,6.00,243.00,3716.00,0.00,0.00,0.00,2636.00,775.00,29.00,3.00,273.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3971.00,80.00,0.00,0.00,257.00,0.00,-2452.00,0.00,-10.00,2719.00,3389.00,177.00,3212.00,55.00,0.00,7.00,183.00,3978.00,0.00,0.00,0.00,2555.00,975.00,57.00,3.00,388.00
1952:Q1,4772.00,-280.00,0.00,0.00,2180.00,0.00,-864.00,0.00,-36.00,3080.00,2448.00,148.00,2300.00,248.00,0.00,0.00,176.00,4284.00,0.00,0.00,0.00,2612.00,1080.00,128.00,0.00,464.00
1952:Q2,3704.00,248.00,0.00,0.00,1152.00,0.00,-1820.00,0.00,-40.00,3012.00,1976.00,136.00,1840.00,160.00,0.00,8.00,160.00,4544.00,0.00,0.00,0.00,2752.00,1136.00,-68.00,4.00,720.00
1952:Q3,5548.00,-48.00,0.00,0.00,3348.00,0.00,368.00,0.00,160.00,2820.00,1996.00,144.00,1852.00,88.00,0.00,8.00,156.00,4760.00,0.00,0.00,0.00,2924.00,1152.00,44.00,4.00,636.00
1952:Q4,5076.00,324.00,0.00,0.00,2628.00,0.00,-812.00,0.00,-40.00,3480.00,1820.00,64.00,1756.00,160.00,0.00,8.00,136.00,4876.00,0.00,0.00,0.00,3092.00,1132.00,-40.00,4.00,688.00
1953:Q1,4648.00,-624.00,0.00,0.00,2868.00,0.00,-528.00,0.00,200.00,3196.00,2140.00,180.00,1960.00,116.00,0.00,8.00,140.00,4792.00,0.00,0.00,0.00,3064.00,1120.00,-40.00,4.00,644.00
