date,FU897005005.Q,FU157005005.Q,FU107005005.Q,FU317005005.Q,FU217005005.Q,FU797005005.Q,FU717005005.Q,FU767005005.Q,FU757005005.Q,FU747005005.Q,FU477005005.Q,FU517005005.Q,FU547005005.Q,FU657005005.Q,FU407005005.Q,FU677005005.Q,FU617005005.Q,FU647005005.Q,FU667005005.Q,FU737005005.Q,FU267005005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3973.00,-1997.00,3644.00,-6532.00,1264.00,-270.00,0.00,-169.00,-65.00,-21.00,9.00,-7.00,128.00,-117.00,-25.00,0.00,128.00,-2.00,4.00,-133.00,-82.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-13108.00,-4098.00,2088.00,-10110.00,-248.00,-17.00,-4.00,67.00,41.00,-2.00,9.00,-139.00,132.00,-46.00,-29.00,0.00,70.00,-1.00,-4.00,-111.00,-722.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-7273.00,-3818.00,4364.00,-8372.00,-589.00,315.00,-7.00,167.00,8.00,-8.00,13.00,-68.00,189.00,52.00,-2.00,0.00,121.00,-9.00,-5.00,-135.00,827.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-8133.00,-3047.00,3635.00,-8176.00,-1111.00,603.00,-27.00,169.00,9.00,-8.00,17.00,230.00,272.00,-52.00,-8.00,0.00,120.00,-4.00,-6.00,-108.00,-38.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-9863.00,-3623.00,3549.00,-8638.00,903.00,-683.00,-42.00,-149.00,23.00,-17.00,23.00,-352.00,-112.00,-27.00,-15.00,0.00,131.00,-16.00,-25.00,-106.00,-1371.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
