date,FU174090005.Q,FU153091003.Q,FU173020005.Q,FU173030005.Q,FU173034005.Q,FU174022005.Q,FU163069103.Q,FU173061105.Q,FU153061705.Q,FU173062005.Q,FU153063005.Q,FU174023005.Q,FU153064105.Q,FU153064205.Q,FU153040005.Q,FU153050005.Q,FU173099005.Q,FU175050005.Q,FU175012005.Q,FU175013005.Q,FU155111003.Q,FU155420003.Q,FU115020005.Q,FU176300005.Q,FU176320005.Q,FU176330005.Q,FU156300103.Q,FU172010005.Q,FU175012865.Q,FU175013865.Q,FU155111005.Q,FU155420003.Q,FU115020005.Q,FU174190005.Q,FU173165105.Q,FU173165205.Q,FU153166000.Q,FU153169005.Q,FU173199005.Q,FU175440005.Q,FU176007025.Q,FU155111005.Q,FU313154015.Q,FU156600075.Q,FU176007005.Q,FU156007015.Q,FU176007085.Q,FU156012005.Q,FU176007026.Q,FU176007006.Q,FU156007016.Q,FU176007086.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,25074.00,0.00,5802.00,6338.00,0.00,-2269.00,85.00,-1390.00,32.00,-52.00,-944.00,1651.00,1008.00,185.00,3800.00,6555.00,2004.00,29196.00,7909.00,5305.00,15862.00,0.00,120.00,16899.00,3072.00,3100.00,10727.00,12296.00,4837.00,2205.00,5135.00,0.00,120.00,10221.00,4394.00,990.00,2977.00,-728.00,2588.00,878.00,28027.00,5135.00,1320.00,0.00,21572.00,19575.00,1997.00,165458.00,16.94,13.04,11.83,1.21
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,16791.00,0.00,30.00,3479.00,0.00,-156.00,18.00,-62.00,55.00,641.00,-808.00,1398.00,1079.00,163.00,3150.00,6558.00,1090.00,38516.00,12137.00,7623.00,20447.00,0.00,-1691.00,20500.00,3870.00,3967.00,12663.00,18016.00,8267.00,3657.00,7784.00,0.00,-1691.00,11783.00,5167.00,822.00,3521.00,84.00,2189.00,996.00,24020.00,7784.00,1116.00,0.00,15120.00,11022.00,4098.00,174826.00,13.74,8.65,6.30,2.34
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,13270.00,0.00,-2831.00,2201.00,0.00,1045.00,131.00,752.00,-53.00,171.00,44.00,1313.00,915.00,148.00,2843.00,6948.00,689.00,50586.00,15708.00,9172.00,22947.00,0.00,2759.00,24569.00,4399.00,4811.00,15359.00,26016.00,11309.00,4360.00,7588.00,0.00,2759.00,11090.00,5155.00,1190.00,3034.00,101.00,1611.00,1068.00,29264.00,7588.00,641.00,0.00,21035.00,17217.00,3818.00,194456.00,15.05,10.82,8.85,1.96
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
