date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA163069103.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA543195005.A,FA313195105.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170003.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR155111005.A,FR165015205.A,FR165013765.A,FR158080095.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,FL152010005.A,LM155035005.A,FL155111005.A,FL165015205.A,FL165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,FL153091003.A,FL153030005.A,FL313131003.A,FL154022005.A,FL163069103.A,FL153061105.A,FL153061705.A,FL153062005.A,FL153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,FL152090205.A,FL153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL543195005.A,FL313195105.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170003.A,FL152090005.A
1960,45285.00,8174.00,37111.00,13894.00,13337.00,557.00,5594.00,17624.00,406962.00,17624.00,301851.00,272855.00,28996.00,100435.00,31011.00,69424.00,13366.00,56058.00,12948.00,406962.00,46068.00,24428.00,16444.00,1312.00,787.00,369403.00,331577.00,37826.00,35584.00,37826.00,2242.00,16892.00,25730.00,21952.00,3778.00,8174.00,-664.00,18692.00,18692.00,46286.00,13747.00,1998.00,11936.00,0.00,-187.00,5359.00,943.00,610.00,-1234.00,2645.00,2395.00,3180.00,406.00,2774.00,-3611.00,-3773.00,1049.00,0.00,-887.00,0.00,27611.00,148.00,3228.00,23665.00,570.00,0.00,17848.00,0.00,17546.00,5428.00,4035.00,698.00,695.00,12118.00,192.00,110.00,28438.00,15413.00,5251.00,0.00,416.00,-9746.00,9705.00,9767.00,-48.00,-13.00,-1.00,12855.00,3884.00,159.00,10824.00,0.00,-2012.00,22560.00,73557.00,2294812.00,737552.00,547589.00,185419.00,3760.00,784.00,1557260.00,242887.00,77582.00,0.00,164461.00,844.00,117396.00,2550.00,72194.00,1033.00,31007.00,10612.00,33623.00,48.00,33575.00,780135.00,364553.00,17026.00,0.00,398556.00,0.00,383219.00,6427.00,85184.00,284547.00,7061.00,0.00,2294812.00,224550.00,0.00,219861.00,73271.00,61248.00,2122.00,9901.00,146590.00,2379.00,2310.00,2070262.00
1961,48115.00,8496.00,39619.00,14463.00,13862.00,601.00,6193.00,18963.00,422063.00,18963.00,311089.00,280519.00,30570.00,105924.00,33289.00,72635.00,13901.00,58734.00,13913.00,422063.00,47250.00,28089.00,17005.00,1361.00,920.00,386338.00,341967.00,44371.00,41862.00,44371.00,2509.00,15826.00,25084.00,20990.00,4094.00,8496.00,-761.00,26036.00,26036.00,46772.00,17996.00,-264.00,18384.00,0.00,-124.00,674.00,-362.00,-250.00,-441.00,1499.00,228.00,2471.00,-788.00,3259.00,-2428.00,-4334.00,1671.00,0.00,235.00,0.00,28059.00,136.00,3447.00,23854.00,622.00,0.00,18373.00,0.00,18050.00,4866.00,2187.00,880.00,1799.00,13184.00,133.00,190.00,28399.00,5345.00,3048.00,0.00,-67.00,-2363.00,13297.00,13418.00,-91.00,-27.00,-4.00,102142.00,82998.00,4178.00,16991.00,0.00,-2025.00,115438.00,162645.00,2475820.00,769615.00,576368.00,188376.00,3989.00,882.00,1706205.00,260557.00,76992.00,0.00,182845.00,720.00,118070.00,2188.00,71944.00,592.00,32506.00,10840.00,36094.00,-740.00,36834.00,881874.00,443217.00,22875.00,0.00,415782.00,0.00,409610.00,6563.00,88631.00,306733.00,7683.00,0.00,2475820.00,242913.00,0.00,237901.00,78127.00,63435.00,2992.00,11700.00,159774.00,2512.00,2500.00,2232907.00
1962,51871.00,8846.00,43025.00,15625.00,14923.00,702.00,6734.00,20666.00,450793.00,20666.00,332912.00,299358.00,33554.00,112478.00,36632.00,75846.00,15027.00,60819.00,15263.00,450793.00,51555.00,28843.00,19117.00,1549.00,1040.00,409473.00,363107.00,46366.00,43728.00,46366.00,2638.00,17089.00,26747.00,22161.00,4587.00,8846.00,-812.00,26639.00,26639.00,51518.00,25426.00,-438.00,25983.00,0.00,-119.00,1174.00,805.00,1774.00,-357.00,-419.00,-629.00,2048.00,-124.00,2172.00,-5117.00,-6563.00,872.00,0.00,574.00,0.00,27987.00,18.00,3767.00,23522.00,680.00,0.00,22136.00,0.00,21851.00,6975.00,5909.00,458.00,608.00,14876.00,155.00,130.00,29382.00,1242.00,6995.00,0.00,-8496.00,-2743.00,9602.00,10299.00,-662.00,-30.00,-6.00,4766.00,-5424.00,-2838.00,16496.00,0.00,-3468.00,14367.00,59337.00,2557293.00,803569.00,603604.00,194709.00,4245.00,1011.00,1753724.00,286662.00,77233.00,0.00,208828.00,601.00,119244.00,2993.00,73718.00,235.00,32087.00,10211.00,38142.00,-864.00,39006.00,884990.00,431230.00,20909.00,0.00,432851.00,0.00,424686.00,6581.00,92398.00,317344.00,8363.00,0.00,2557293.00,265049.00,0.00,259752.00,85102.00,69344.00,3450.00,12308.00,174650.00,2667.00,2630.00,2292244.00
1963,55160.00,9288.00,45872.00,16657.00,15845.00,812.00,7417.00,21798.00,474283.00,21798.00,351178.00,314851.00,36327.00,118248.00,39799.00,78450.00,16236.00,62214.00,16941.00,474283.00,54552.00,30341.00,21669.00,1868.00,1106.00,429165.00,382479.00,46687.00,43802.00,46687.00,2885.00,18625.00,28797.00,24154.00,4643.00,9288.00,-883.00,25177.00,25177.00,59573.00,30695.00,4680.00,26108.00,0.00,-93.00,81.00,1203.00,-826.00,-235.00,7.00,-68.00,1240.00,-282.00,1522.00,-4063.00,-7207.00,971.00,0.00,2173.00,0.00,31620.00,379.00,4237.00,26657.00,347.00,0.00,28958.00,0.00,28462.00,11067.00,8526.00,347.00,2194.00,17395.00,186.00,310.00,30615.00,14154.00,9267.00,0.00,-551.00,-5438.00,7629.00,6766.00,868.00,-3.00,-2.00,49315.00,45872.00,2939.00,3443.00,0.00,-2939.00,56944.00,114900.00,2701148.00,839163.00,628622.00,204844.00,4529.00,1168.00,1861985.00,317507.00,82063.00,0.00,234936.00,508.00,119325.00,4196.00,72892.00,0.00,32094.00,10143.00,39382.00,-1146.00,40528.00,933181.00,469895.00,24819.00,0.00,438467.00,0.00,452590.00,6960.00,96635.00,340285.00,8710.00,0.00,2701148.00,294004.00,0.00,288211.00,96166.00,77870.00,3794.00,14502.00,192045.00,2853.00,2940.00,2407144.00
1964,58727.00,9882.00,48845.00,17868.00,16989.00,879.00,8095.00,22883.00,508193.00,22883.00,376822.00,337788.00,39034.00,127402.00,44303.00,83100.00,18194.00,64906.00,18914.00,508193.00,52069.00,31317.00,22387.00,2187.00,1207.00,466034.00,411191.00,54842.00,51537.00,54842.00,3305.00,19823.00,30670.00,25565.00,5105.00,9882.00,-965.00,31714.00,31714.00,71509.00,32356.00,6323.00,26105.00,0.00,-72.00,4808.00,977.00,679.00,245.00,2760.00,147.00,1393.00,-177.00,1570.00,-3637.00,-6969.00,944.00,0.00,2388.00,0.00,36589.00,547.00,4416.00,31116.00,510.00,0.00,29435.00,0.00,28989.00,11155.00,9482.00,1410.00,263.00,17834.00,186.00,260.00,42074.00,18324.00,11755.00,0.00,-3791.00,-10360.00,13739.00,14960.00,-1199.00,-15.00,-7.00,97302.00,81201.00,2684.00,17297.00,0.00,-3880.00,111041.00,180902.00,2911415.00,884106.00,662499.00,215400.00,4873.00,1334.00,2027309.00,346331.00,84854.00,0.00,261041.00,436.00,124133.00,5173.00,73571.00,245.00,34854.00,10290.00,41275.00,-823.00,42098.00,1030726.00,544127.00,28447.00,0.00,458152.00,0.00,484844.00,7507.00,101051.00,367066.00,9220.00,0.00,2911415.00,323369.00,0.00,317130.00,107251.00,87352.00,5134.00,14765.00,209879.00,3039.00,3200.00,2588046.00
1965,63002.00,10662.00,52340.00,19316.00,18338.00,978.00,8819.00,24205.00,548061.00,24205.00,406346.00,363757.00,42589.00,138389.00,48573.00,89816.00,20205.00,69611.00,20879.00,548061.00,57664.00,33913.00,23416.00,2265.00,1300.00,501859.00,443581.00,58278.00,54670.00,58278.00,3608.00,20444.00,32099.00,26231.00,5868.00,10662.00,-993.00,34226.00,34226.00,75712.00,34120.00,6731.00,27473.00,0.00,-84.00,3337.00,871.00,1191.00,887.00,1677.00,-1289.00,1026.00,513.00,513.00,-4719.00,-10554.00,2073.00,0.00,3762.00,0.00,41948.00,719.00,4825.00,35662.00,742.00,0.00,29401.00,0.00,28717.00,10885.00,10137.00,-443.00,1191.00,17832.00,264.00,420.00,46311.00,28212.00,15925.00,0.00,202.00,-12085.00,9920.00,13404.00,-3455.00,-22.00,-8.00,104997.00,82523.00,3890.00,23129.00,0.00,-4545.00,114917.00,197798.00,3138630.00,930935.00,696286.00,227870.00,5257.00,1522.00,2207695.00,380447.00,91581.00,0.00,288514.00,352.00,127470.00,6044.00,74762.00,1132.00,36531.00,9001.00,42301.00,-310.00,42611.00,1135549.00,616096.00,34410.00,0.00,485043.00,0.00,521928.00,8226.00,105876.00,397864.00,9962.00,0.00,3138630.00,352786.00,0.00,345863.00,118152.00,97489.00,4707.00,15956.00,227711.00,3303.00,3620.00,2785844.00
1966,68022.00,11533.00,56489.00,21261.00,20056.00,1205.00,9510.00,25719.00,601640.00,25719.00,450285.00,400321.00,49965.00,148128.00,53533.00,94595.00,20670.00,73925.00,22491.00,601640.00,66378.00,37504.00,31336.00,2113.00,1591.00,541952.00,480595.00,61357.00,57471.00,61357.00,3886.00,18578.00,31164.00,25009.00,6154.00,11533.00,-1053.00,38893.00,38893.00,83912.00,20278.00,1874.00,18621.00,0.00,-217.00,18004.00,2250.00,4318.00,4718.00,4620.00,2098.00,1901.00,245.00,1656.00,-4128.00,-9829.00,2206.00,0.00,3495.00,0.00,47857.00,709.00,4694.00,41602.00,852.00,0.00,22896.00,0.00,22190.00,8539.00,5933.00,671.00,1935.00,13651.00,356.00,350.00,61016.00,41703.00,17853.00,0.00,1727.00,-22123.00,37599.00,33671.00,3793.00,136.00,-1.00,-37300.00,-58003.00,-2766.00,29999.00,0.00,-6530.00,298.00,99472.00,3261339.00,1005984.00,748935.00,249516.00,5795.00,1738.00,2255355.00,400725.00,93455.00,0.00,307135.00,135.00,145474.00,8294.00,79080.00,5850.00,41151.00,11099.00,44552.00,-65.00,44617.00,1100652.00,548264.00,33850.00,0.00,518538.00,0.00,563952.00,8935.00,110570.00,433633.00,10814.00,0.00,3261339.00,376022.00,0.00,368393.00,126691.00,103422.00,5378.00,17891.00,241702.00,3659.00,3970.00,2885317.00
1967,73406.00,12445.00,60961.00,23384.00,21976.00,1408.00,10633.00,26944.00,641415.00,26944.00,482944.00,429009.00,53935.00,155265.00,58373.00,96892.00,21510.00,75382.00,23738.00,641415.00,72961.00,45752.00,34867.00,2262.00,1968.00,579633.00,507412.00,72221.00,68243.00,72221.00,3978.00,18178.00,31684.00,25517.00,6166.00,12445.00,-1061.00,50065.00,50065.00,93002.00,45272.00,10212.00,35170.00,0.00,-110.00,3192.00,1841.00,-88.00,415.00,-2952.00,3976.00,4371.00,2224.00,2147.00,-11723.00,-13586.00,929.00,0.00,934.00,0.00,51890.00,803.00,4965.00,45222.00,900.00,0.00,34986.00,0.00,34068.00,17719.00,5145.00,8039.00,4535.00,16349.00,288.00,630.00,58016.00,22578.00,16003.00,0.00,-1376.00,-7951.00,33291.00,26796.00,6402.00,80.00,13.00,174964.00,147450.00,8194.00,23733.00,0.00,-4413.00,208255.00,299076.00,3595262.00,1074443.00,794221.00,271921.00,6317.00,1984.00,2520819.00,446083.00,103753.00,0.00,342305.00,25.00,148675.00,10135.00,78992.00,6265.00,38208.00,15075.00,48766.00,2159.00,46607.00,1268306.00,682128.00,42973.00,0.00,543205.00,0.00,608989.00,9738.00,115535.00,471818.00,11898.00,0.00,3595262.00,410869.00,0.00,402322.00,144397.00,108567.00,13404.00,22426.00,257925.00,3947.00,4600.00,3184393.00
1968,79378.00,13640.00,65738.00,26086.00,24616.00,1470.00,11994.00,27658.00,701120.00,27658.00,532101.00,471972.00,60129.00,167189.00,63816.00,103374.00,23535.00,79839.00,25828.00,701120.00,86987.00,53306.00,38695.00,2788.00,2005.00,629527.00,557453.00,72074.00,67986.00,72074.00,4088.00,21136.00,35861.00,29431.00,6430.00,13640.00,-1085.00,46851.00,46851.00,94810.00,39220.00,8983.00,30237.00,0.00,0.00,5944.00,2033.00,2743.00,-145.00,-1614.00,2927.00,5018.00,2719.00,2299.00,-14381.00,-19745.00,2205.00,0.00,3159.00,0.00,59009.00,929.00,4789.00,52295.00,996.00,0.00,25047.00,0.00,24142.00,8719.00,10757.00,-6596.00,4558.00,15423.00,355.00,550.00,69763.00,44881.00,20868.00,0.00,1101.00,-22912.00,85498.00,76009.00,9269.00,160.00,60.00,192784.00,152951.00,4351.00,41939.00,0.00,-6457.00,278282.00,391149.00,4011685.00,1200813.00,889605.00,302058.00,6876.00,2274.00,2810872.00,485278.00,112736.00,0.00,372542.00,0.00,154515.00,12168.00,81735.00,6120.00,36490.00,18002.00,53960.00,4878.00,49082.00,1453165.00,815334.00,49529.00,0.00,588302.00,0.00,663954.00,10667.00,120324.00,520069.00,12894.00,0.00,4011685.00,436144.00,0.00,426692.00,153452.00,119324.00,6808.00,27320.00,273240.00,4302.00,5150.00,3575541.00
1969,87586.00,15235.00,72351.00,29477.00,27721.00,1756.00,13407.00,29466.00,768064.00,29466.00,586015.00,518333.00,67682.00,181713.00,74507.00,107206.00,24239.00,82967.00,29130.00,768064.00,104506.00,58973.00,44127.00,3331.00,2216.00,679519.00,604489.00,75030.00,70405.00,75030.00,4625.00,22489.00,38477.00,31072.00,7405.00,15235.00,-753.00,47916.00,47916.00,99044.00,6828.00,-1806.00,8634.00,0.00,0.00,37300.00,6366.00,11431.00,5185.00,10754.00,3564.00,-523.00,-2227.00,1704.00,-14378.00,-17183.00,2666.00,0.00,139.00,0.00,69817.00,1158.00,5038.00,62533.00,1088.00,0.00,29123.00,0.00,28067.00,9649.00,9907.00,287.00,-545.00,18418.00,386.00,670.00,69921.00,42110.00,19501.00,0.00,604.00,-22005.00,66476.00,58051.00,8154.00,181.00,91.00,-112561.00,-130795.00,-6617.00,34829.00,0.00,-9978.00,-46086.00,66429.00,4105750.00,1308560.00,968674.00,329713.00,7605.00,2568.00,2797190.00,492217.00,110920.00,0.00,381297.00,0.00,192255.00,18534.00,93166.00,11305.00,47244.00,22006.00,51888.00,2651.00,49237.00,1336196.00,667356.00,45578.00,0.00,623262.00,0.00,724634.00,11825.00,125362.00,573465.00,13982.00,0.00,4105750.00,463780.00,0.00,453272.00,163563.00,129231.00,7557.00,26775.00,289709.00,4688.00,5820.00,3641970.00
