date,FC112090205.Q,FU115440005.Q,FU115060005.Q,FU115061005.Q,FU115050005.Q,FU116300005.Q,FU115000005.Q,FU114090005.Q,FU114190005.Q,FU112090205.Q,FR115035005.Q,FR115035023.Q,FR115035035.Q,FR118100005.Q,FR115012265.Q,FR115013265.Q,FR115013765.Q,FR115020005.Q,FR115114005.Q,FV118090005.Q,FL112090205.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,197384.93
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,36798.00,0.00,571.00,2040.00,5943.00,3902.00,-2040.00,1895.00,3935.00,571.00,26598.00,13758.00,12840.00,10493.00,-59.00,1778.00,88.00,8685.00,-1.00,-865.00,234183.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,33198.00,0.00,86.00,2028.00,6928.00,4900.00,-2028.00,814.00,2843.00,86.00,24976.00,12053.00,12923.00,8135.00,49.00,1964.00,236.00,5885.00,0.00,0.00,267381.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,15698.00,0.00,4819.00,7324.00,13144.00,5819.00,-7324.00,-56.00,7268.00,4819.00,10403.00,4479.00,5924.00,557.00,28.00,1965.00,74.00,-1508.00,1.00,-82.00,283078.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1743.00,0.00,1412.00,2884.00,9306.00,6422.00,-2884.00,171.00,3055.00,1412.00,3623.00,2562.00,1061.00,-3292.00,-64.00,131.00,-3.00,-3356.00,0.00,0.00,284821.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
