date,FA907005005.Q,FA903012005.Q,FA903091005.Q,FA904010005.Q,FA902050005.Q,FA903020005.Q,FA903023005.Q,FA903028003.Q,FA903029200.Q,FA903070005.Q,FA903078005.Q,FA903090005.Q,FA906000105.Q,FA087005005.Q,FA156600075.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,-3973.00,-97.00,0.00,-498.00,-9.00,883.00,603.00,0.00,280.00,2917.00,-7757.00,1811.00,-1223.00,1223.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,-13110.00,-28.00,0.00,125.00,-80.00,-814.00,-1553.00,0.00,739.00,-1700.00,-7517.00,-242.00,-2854.00,2854.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,-7274.00,-32.00,0.00,-148.00,-10.00,-326.00,52.00,0.00,-378.00,754.00,-7326.00,-457.00,271.00,-271.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-8136.00,-28.00,0.00,66.00,3.00,368.00,79.00,0.00,289.00,1110.00,-7330.00,-604.00,-1721.00,1721.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,-9864.00,-48.00,0.00,99.00,-45.00,374.00,-199.00,0.00,573.00,-1433.00,-8186.00,624.00,-1249.00,1249.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-19820.00,-49.00,0.00,-794.00,-114.00,202.00,-10.00,0.00,212.00,-2752.00,-8995.00,-3879.00,-3439.00,3421.00,18.00
1952:Q1,-6225.00,-28.00,0.00,1208.00,-1000.00,-276.00,-2004.00,0.00,1728.00,-3154.00,-3365.00,4141.00,-3751.00,3731.00,20.00
1952:Q2,-18277.00,-64.00,0.00,-2092.00,-900.00,3764.00,1820.00,0.00,1944.00,-7414.00,-5417.00,-3760.00,-2394.00,2370.00,24.00
1952:Q3,-40662.00,-72.00,0.00,5800.00,-2560.00,-2500.00,-2596.00,56.00,40.00,-1266.00,-12945.00,-25423.00,-1696.00,1672.00,24.00
1952:Q4,-7858.00,-100.00,0.00,-5352.00,1308.00,3064.00,192.00,180.00,2692.00,-3482.00,-13397.00,12659.00,-2558.00,2538.00,20.00
1953:Q1,-3906.00,-44.00,0.00,1008.00,468.00,1544.00,456.00,188.00,900.00,1277.00,-8993.00,3730.00,-2896.00,2872.00,24.00
1953:Q2,-15051.00,-60.00,0.00,-1128.00,580.00,860.00,1172.00,196.00,-508.00,1261.00,-9661.00,-3660.00,-3243.00,3219.00,24.00
1953:Q3,-34930.00,-44.00,0.00,4220.00,-3284.00,-2248.00,-2748.00,224.00,276.00,3661.00,-10717.00,-22958.00,-3560.00,3536.00,24.00
1953:Q4,-9874.00,-44.00,0.00,-4636.00,2776.00,1464.00,1860.00,276.00,-672.00,-2207.00,-8825.00,7041.00,-5443.00,5423.00,20.00
1954:Q1,-5453.00,-76.00,0.00,-856.00,1904.00,-72.00,180.00,236.00,-488.00,3169.00,-11627.00,4860.00,-2755.00,2731.00,24.00
1954:Q2,-20172.00,-56.00,0.00,360.00,-164.00,-488.00,708.00,104.00,-1300.00,-847.00,-12347.00,-4129.00,-2501.00,2477.00,24.00
1954:Q3,-26418.00,-40.00,0.00,2732.00,-2964.00,-988.00,-508.00,-76.00,-404.00,3201.00,-6347.00,-18561.00,-3451.00,3423.00,28.00
